Địa chỉ,Tên Nhà,Số tầng,Diện tích đất (m2),Giá,Hướng
"Q. Đống Đa, TP. Hà Nội","Nhà mặt ngõ cách Trung Phụng 20m, diện tích 15.3m² x 4 tầng, mặt tiền 2.17m",4 tầng,15.3m²,3.36 tỷ,Đông Bắc
"Q. Đống Đa, TP. Hà Nội","Nhà mặt ngõ cách Khâm Thiên 30m, diện tích 23.2m² x 4 tầng, mặt tiền 2.83m",4 tầng,23.2m²,4.3 tỷ,Nam
"Q. Đống Đa, TP. Hà Nội","Nhà mặt ngõ cách Khâm Thiên 200m, diện tích 102.8m² x 3 tầng, mặt tiền 4.58m",3 tầng,102.8m²,11 tỷ,Nam
"Q. Đống Đa, TP. Hà Nội","Nhà mặt ngõ cách Nguyễn Phúc Lai 20m, diện tích 90m² x 6 tầng, mặt tiền 5.5m",6 tầng,90m²,35 tỷ,Tây Nam
"Q. Đống Đa, TP. Hà Nội","Nhà mặt ngõ cách Trường Chinh 10m, diện tích 78.79m² x 9 tầng, nhà 2 mặt tiền",9 tầng,78.79m²,27 tỷ,"Tây Nam, Đông Nam"
"Q. Đống Đa, TP. Hà Nội","Nhà mặt ngõ cách Tam Khương 38m, diện tích 116.4m² x 8 tầng, mặt tiền 6.12m",8 tầng,116.4m²,27 tỷ,Đông Nam
"Q. Đống Đa, TP. Hà Nội","Nhà mặt ngõ cách Giảng Võ 15m, diện tích 21.1m² x 4 tầng, mặt tiền 3.36m",4 tầng,21.1m²,6.4 tỷ,Tây Nam
"Q. Đống Đa, TP. Hà Nội","Nhà mặt ngõ cách Tôn Đức Thắng 30m, diện tích 82.86m² x 4 tầng, mặt tiền 7.29m",4 tầng,82.86m²,25.8 tỷ,Tây Nam
"Q. Đống Đa, TP. Hà Nội","Nhà mặt ngõ cách La Thành 200m, diện tích 67.7m² x 3 tầng, mặt tiền 4.5m",3 tầng,67.7m²,6.8 tỷ,Tây Bắc
"Q. Đống Đa, TP. Hà Nội","Nhà mặt phố Thái Thịnh, diện tích 90.1m² x 5 tầng, mặt tiền 2.3m",5 tầng,90.1m²,38.5 tỷ,Tây Nam
"Q. Đống Đa, TP. Hà Nội","Nhà mặt ngõ cách Nguyễn Lương Bằng 100m, diện tích 64.6m² x 4 tầng, mặt tiền 4m",4 tầng,64.6m²,16.3 tỷ,Tây Nam
"Q. Đống Đa, TP. Hà Nội","Nhà mặt ngõ cách Trường Chinh 50m, diện tích 69.5m² x 5 tầng, mặt tiền 4m",5 tầng,69.5m²,12.5 tỷ,Tây Bắc
