Địa chỉ,Tên Nhà,Số tầng,Diện tích đất (m2),Giá,Hướng,Diện tích sàn (m2)
"Q. Thanh Xuân, TP. Hà Nội","Nhà mặt ngõ cách Lê Trọng Tấn 120m, diện tích 77.8m² x 1 tầng, mặt tiền 4.3m",1 tầng,77.8m²,17 tỷ,Đông Nam,
"Q. Thanh Xuân, TP. Hà Nội","Nhà mặt ngõ cách Giáp Nhất 100m, diện tích 52.9m² x 5 tầng, mặt tiền 4.5m",5 tầng,52.9m²,7.9 tỷ,Đông,
"Q. Thanh Xuân, TP. Hà Nội","Nhà mặt ngõ cách Bùi Xương Trạch 80m, diện tích 33.5m² x 5 tầng, mặt tiền 3.85m",5 tầng,33.5m²,6.6 tỷ,Đông,
"Q. Thanh Xuân, TP. Hà Nội","Nhà mặt phố Nguyễn Văn Trỗi, diện tích 80m² x 6 tầng, mặt tiền 5.4m",6 tầng,80m²,19.8 tỷ,Bắc,
"Q. Thanh Xuân, TP. Hà Nội","Nhà mặt phố Khương Đình, diện tích 141.5m² x 3 tầng, mặt tiền 3.7m",3 tầng,141.5m²,27.5 tỷ,Nam,
"Q. Thanh Xuân, TP. Hà Nội","Nhà mặt phố Khương Trung, diện tích 58.7m² x 4 tầng, mặt tiền 3.2m",4 tầng,58.7m²,14 tỷ,Tây,
"Q. Thanh Xuân, TP. Hà Nội","Nhà mặt ngõ cách Quan Nhân 100m, diện tích 174.9m² x 3 tầng, mặt tiền 8.05m",3 tầng,174.9m²,46.5 tỷ,Tây,
"Q. Thanh Xuân, TP. Hà Nội","Nhà mặt phố Cự Lộc, diện tích 44.5m² x 4 tầng, mặt tiền 3.2m",4 tầng,44.5m²,10.5 tỷ,Đông Bắc,
"Q. Thanh Xuân, TP. Hà Nội","Nhà mặt ngõ cách Giải Phóng (phía đối diện đường tàu) 20m, diện tích 71.9m² x 3 tầng, mặt tiền 4.2m",3 tầng,71.9m²,16 tỷ,Tây,
"Q. Thanh Xuân, TP. Hà Nội","Nhà mặt ngõ cách Quan Nhân 100m, diện tích 158m² x 1 tầng, mặt tiền 5.5m",1 tầng,158m²,26 tỷ,Tây,
"Q. Thanh Xuân, TP. Hà Nội","Nhà mặt ngõ cách Nguyễn Văn Trỗi 100m, diện tích 45m² x 4 tầng, mặt tiền 3.9m",4 tầng,45m²,13.8 tỷ,Nam,
"Q. Thanh Xuân, TP. Hà Nội","Nhà mặt ngõ cách Hoàng Văn Thái 50m, diện tích 44.6m² x 7 tầng, mặt tiền 12m",7 tầng,44.6m²,12 tỷ,Đông Nam,
